id,variable,reference,target,blocking
BMA_vs_CellPP,condition,BMA,CellPP,horse
BMA_vs_Centrate,condition,BMA,Centrate,horse
BMA_vs_PPP,condition,BMA,PPP,horse
BMA_vs_Plasma,condition,BMA,Plasma,horse
BMA_vs_Prostride,condition,BMA,Prostride,horse
BMA_vs_Restigen,condition,BMA,Restigen,horse
CellPP_vs_Centrate,condition,CellPP,Centrate,horse
CellPP_vs_PPP,condition,CellPP,PPP,horse
CellPP_vs_Plasma,condition,CellPP,Plasma,horse
CellPP_vs_Prostride,condition,CellPP,Prostride,horse
CellPP_vs_Restigen,condition,CellPP,Restigen,horse
Centrate_vs_PPP,condition,Centrate,PPP,horse
Centrate_vs_Plasma,condition,Centrate,Plasma,horse
Centrate_vs_Prostride,condition,Centrate,Prostride,horse
Centrate_vs_Restigen,condition,Centrate,Restigen,horse
PPP_vs_Plasma,condition,PPP,Plasma,horse
PPP_vs_Prostride,condition,PPP,Prostride,horse
PPP_vs_Restigen,condition,PPP,Restigen,horse
Plasma_vs_Prostride,condition,Plasma,Prostride,horse
Plasma_vs_Restigen,condition,Plasma,Restigen,horse
Prostride_vs_Restigen,condition,Prostride,Restigen,horse
