sample,fastq_1,fastq_2,condition,horse
H1BMA,H1BMA.fq.gz,,BMA,1
H1CellPP,H1CellPP.fq.gz,,CellPP,1
H1Centrate,H1Centrate.fq.gz,,Centrate,1
H1PPP,H1PPP.fq.gz,,PPP,1
H1Plasma,H1Plasma.fq.gz,,Plasma,1
H1Prostride,H1Prostride.fq.gz,,Prostride,1
H1Restigen,H1Restigen.fq.gz,,Restigen,1
H2BMA,H2BMA.fq.gz,,BMA,2
H2CellPP,H2CellPP.fq.gz,,CellPP,2
H2Centrate,H2Centrate.fq.gz,,Centrate,2
H2PPP,H2PPP.fq.gz,,PPP,2
H2Plasma,H2Plasma.fq.gz,,Plasma,2
H2Prostride,H2Prostride.fq.gz,,Prostride,2
H2Restigen,H2Restigen.fq.gz,,Restigen,2
H3BMA,H3BMA.fq.gz,,BMA,3
H3CellPP,H3CellPP.fq.gz,,CellPP,3
H3Centrate,H3Centrate.fq.gz,,Centrate,3
H3PPP,H3PPP.fq.gz,,PPP,3
H3Plasma,H3Plasma.fq.gz,,Plasma,3
H3Prostride,H3Prostride.fq.gz,,Prostride,3
H3Restigen,H3Restigen.fq.gz,,Restigen,3
H4BMA,H4BMA.fq.gz,,BMA,4
H4CellPP,H4CellPP.fq.gz,,CellPP,4
H4Centrate,H4Centrate.fq.gz,,Centrate,4
H4PPP,H4PPP.fq.gz,,PPP,4
H4Plasma,H4Plasma.fq.gz,,Plasma,4
H4Prostride,H4Prostride.fq.gz,,Prostride,4
H4Restigen,H4Restigen.fq.gz,,Restigen,4
H5BMA,H5BMA.fq.gz,,BMA,5
H5CellPP,H5CellPP.fq.gz,,CellPP,5
H5Centrate,H5Centrate.fq.gz,,Centrate,5
H5PPP,H5PPP.fq.gz,,PPP,5
H5Plasma,H5Plasma.fq.gz,,Plasma,5
H5Prostride,H5Prostride.fq.gz,,Prostride,5
H5Restigen,H5Restigen.fq.gz,,Restigen,5
H6BMA,H6BMA.fq.gz,,BMA,6
H6CellPP,H6CellPP.fq.gz,,CellPP,6
H6Centrate,H6Centrate.fq.gz,,Centrate,6
H6PPP,H6PPP.fq.gz,,PPP,6
H6Plasma,H6Plasma.fq.gz,,Plasma,6
H6Prostride,H6Prostride.fq.gz,,Prostride,6
H6Restigen,H6Restigen.fq.gz,,Restigen,6
